NomeAzienda;Citta;Provincia;Fatturato;DataIndagine
CRM S.P.A.;Cesena;FC;€ 21'301'514;2023-05-18
GOBBI FRUTTA - SOCIETA' A RESPONSABILITA' LIM;Cesena;FC;€ 21'296'599;2023-05-18
CO.M.CE. - COMPAGNIA MONTAGGI CESENA - S.P.A.;Cesena;FC;€ 21'276'444;2023-05-18
SAC PETROLI S.R.L.;Cesena;FC;€ 21'141'700;2023-05-18
GOLDEN BOOKS S.R.L.;Cesena;FC;€ 19'998'493;2023-05-18
SOCIETA' AGRICOLA ALDOBRANDO S.R.L.;Cesena;FC;€ 19'822'688;2023-05-18
CO.TR.A.L. CONSORZIO VOLONTARIO;Cesena;FC;€ 19'812'499;2023-05-18
SESVANDERHAVE ITALIA S.R.L.;Cesena;FC;€ 19'482'457;2023-05-18
CASADEI ROMANO GIORGIO S.R.L.;Cesena;FC;€ 19'406'055;2023-05-18
COIEC ELETTRODOTTI SOCIETA' COOPERATIVA;Cesena;FC;€ 19'384'479;2023-05-18
PARCO EOLICO DI TURSI E COLOBRARO S.R.L.;Cesena;FC;€ 18'967'638;2023-05-18
EFFEGIBI S.R.L.;Cesena;FC;€ 18'654'809;2023-05-18
GOLLINUCCI SRL;Cesena;FC;€ 18'588'421;2023-05-18
VITROPLANT ITALIA S.R.L. SOCIETA' AGRICOLA;Cesena;FC;€ 18'294'549;2023-05-18
CONSORZIO FRUTTETO S.P.A. CONSORTILE - SOCIET;Cesena;FC;€ 17'871'645;2023-05-18
SACIM SPA;Cesena;FC;€ 17'768'531;2023-05-18
PAGLIARANI NATALE S.R.L.;Cesena;FC;€ 17'368'954;2023-05-18
MANUZZI SRL;Cesena;FC;€ 17'297'570;2023-05-18
FRIGORIFERI INDUSTRIALI SOCIETA' COOPERATIVA;Cesena;FC;€ 16'066'069;2023-05-18
SOCIETA FRA OPERAI MURATORI DEL COMUNE DI CE;Cesena;FC;€ 16'044'887;2023-05-18
IDRAULICA EMILIANA S.P.A.;Cesena;FC;€ 15'996'284;2023-05-18
HORSA S.P.A.;Cesena;FC;€ 15'804'355;2023-05-18
IRON LYNX S.R.L.;Cesena;FC;€ 15'706'690;2023-05-18
CONSORZIO PRODUTTORI LATTE - SOCIETA' AGRICO;Cesena;FC;€ 15'684'505;2023-05-18
PIERI GROUP SRL;Cesena;FC;€ 15'565'406;2023-05-18
M.B.M. S.R.L.;Cesena;FC;€ 15'116'504;2023-05-18
ALMA STEEL SERVICE ORGANIZATION - ASSO SRL;Cesena;FC;€ 15'060'070;2023-05-18
HIPPOGROUP CESENATE S.P.A.;Cesena;FC;€ 15'011'933;2023-05-18
RETE LOGISTICA AGROINDUSTRIALE S.R.L. O IN SI;Cesena;FC;€ 14'959'596;2023-05-18
BIONDI GIULIO - S.R.L.;Cesena;FC;€ 14'618'987;2023-05-18
