NomeAzienda;Citta;Provincia;Fatturato;DataIndagine
LA COMMERCIALE AGRICOLA DI BILLI GIOVANNI S.P;Forli';FC;€ 14'838'323;2023-05-18
P448 S.R.L.;Forli';FC;€ 14'819'792;2023-05-18
CLUB RISTORAZIONE S.R.L.;Forli';FC;€ 14'683'994;2023-05-18
IL BENESSERE SOCIETA' A RESPONSABILITA' LIMIT;Forli';FC;€ 14'545'852;2023-05-18
PLASTIC S.R.L.;Forli';FC;€ 14'529'206;2023-05-18
FLAMIGNI - S.R.L.;Forli';FC;€ 14'251'694;2023-05-18
E' COSI' S.R.L.;Forli';FC;€ 14'204'301;2023-05-18
CNA SERVIZI FORLI'-CESENA SOCIETA' COOPERATIV;Forli';FC;€ 14'176'037;2023-05-18
AGOSTINI NAUTICA - S.R.L.;Forli';FC;€ 13'768'781;2023-05-18
MST S.R.L.;Forli';FC;€ 13'612'355;2023-05-18
MTS S.R.L.;Forli';FC;€ 13'566'523;2023-05-18
TECOMET S.R.L.;Forli';FC;€ 13'551'533;2023-05-18
CIERRE IMBOTTITI - S.R.L.;Forli';FC;€ 13'467'316;2023-05-18
BOUTIQUE DELLA CERAMICA - SALAROLI S.P.A. DEN;Forli';FC;€ 12'993'968;2023-05-18
IDROTERMICA COOP - SOCIETA' COOPERATIVA IN SI;Forli';FC;€ 12'924'324;2023-05-18
ESAL - S.R.L.;Forli';FC;€ 12'884'031;2023-05-18
ITALBONIFICHE S.P.A.;Forli';FC;€ 12'743'718;2023-05-18
BANDINI - CASAMENTI S.R.L.;Forli';FC;€ 12'718'009;2023-05-18
COMACO ITALIANA S.P.A.;Forli';FC;€ 12'698'080;2023-05-18
WBX SRL;Forli';FC;€ 12'648'077;2023-05-18
FORLI' AMBIENTE SOCIETA' COOPERATIVA;Forli';FC;€ 12'621'515;2023-05-18
LCT S.R.L.;Forli';FC;€ 12'552'895;2023-05-18
TITOLA SOCIETA' CONSORTILE A RESPONSABILITA';Forli';FC;€ 12'497'223;2023-05-18
GRAMELLINI F.LLI - S.P.A.;Forli';FC;€ 12'443'848;2023-05-18
R.O.L. S.R.L.;Forli';FC;€ 12'229'954;2023-05-18
ADISTRIBUZIONEGAS S.R.L.;Forli';FC;€ 12'136'835;2023-05-18
AURORA S.R.L.;Forli';FC;€ 11'982'129;2023-05-18
POLTRONIFICIO G. & G. S.R.L.;Forli';FC;€ 11'940'884;2023-05-18
STAIRS STUDIO S.R.L.;Forli';FC;€ 11'927'532;2023-05-18
TUBOZETA S.R.L.;Forli';FC;€ 11'821'414;2023-05-18
REPORTER - S.R.L.;Forli';FC;€ 11'733'811;2023-05-18
ARLAM S.R.L.;Forli';FC;€ 11'691'886;2023-05-18
COOP. SAPORE DI ROMAGNA - SOCIETA' AGRICOLA;Forli';FC;€ 11'677'400;2023-05-18
FORMULA SERVIZI ALLE PERSONE SOCIETA' COOPERA;Forli';FC;€ 11'438'086;2023-05-18
OLEODINAMICA FORLIVESE S.R.L.;Forli';FC;€ 11'269'242;2023-05-18
COOPERATIVA DI APPROVVIGIONAMENTO FRA PANIFIC;Forli';FC;€ 11'224'441;2023-05-18
LAMIERPRESS SRL;Forli';FC;€ 11'024'142;2023-05-18
SOLIDARIETA' INTRAPRESA SOCIETA' COOPERATIVA;Forli';FC;€ 10'858'057;2023-05-18
S.G.I. - S.R.L.;Forli';FC;€ 10'824'239;2023-05-18
EDIL ESTERNI S.R.L.;Forli';FC;€ 10'747'612;2023-05-18
CONSORZIO ELETTRICISTI ARTIGIANI ROMAGNOLO -;Forli';FC;€ 10'724'744;2023-05-18
ITALPROGRAM PLUS - S.R.L.;Forli';FC;€ 10'604'568;2023-05-18
TORRICELLI S.R.L.;Forli';FC;€ 10'571'743;2023-05-18
FUSTIFICIO FRASSINETI S.R.L.;Forli';FC;€ 10'366'319;2023-05-18
ETA-BETA S.R.L.;Forli';FC;€ 10'365'018;2023-05-18
CARTARIA FORLIVESE S.R.L.;Forli';FC;€ 10'359'967;2023-05-18
ROBINSON PLUS SRL;Forli';FC;€ 10'238'458;2023-05-18
MEDITERRANEA ENERGIA SOC. CONS. A R.L.;Forli';FC;€ 10'042'162;2023-05-18
BANDINI CUSCINETTI - SOCIETA' A RESPONSABILIT;Forli';FC;€ 9'977'215;2023-05-18
AGRIFLEX - S.R.L.;Forli';FC;€ 9'813'454;2023-05-18
COFERT - S.R.L.;Forli';FC;€ 9'657'031;2023-05-18
NUOVA S.I.D.E.R. S.R.L.;Forli';FC;€ 9'538'097;2023-05-18
BLEU LINE - SOCIETA' A RESPONSABILITA' LIMITA;Forli';FC;€ 9'495'734;2023-05-18
CELANESE SERVICES ITALY S.R.L.;Forli';FC;€ 9'321'137;2023-05-18
GIEMME SNC DI ZANETTI MAURO & C.;Forli';FC;€ 9'194'450;2023-05-18
E.R. LUX S.R.L.;Forli';FC;€ 9'178'335;2023-05-18
SIBONI S.R.L.;Forli';FC;€ 9'172'643;2023-05-18
ANOFOR S.R.L.;Forli';FC;€ 9'026'754;2023-05-18
STYLCASA SRL;Forli';FC;€ 9'015'093;2023-05-18
ZOLI DINO & C. - S.R.L.;Forli';FC;€ 8'764'377;2023-05-18
ALFAMACCHINE S.R.L.;Forli';FC;€ 8'650'575;2023-05-18
CONSORZIO ORTOFRUTTICOLO DI ROMAGNA SOCIETA';Forli';FC;€ 8'644'505;2023-05-18
GENCOM SRL;Forli';FC;€ 8'636'700;2023-05-18
LELIPLAST S.R.L.;Forli';FC;€ 8'467'310;2023-05-18
IMPRESA ORIOLI ENEA S.R.L.;Forli';FC;€ 8'454'002;2023-05-18
CONERO S.C. A R.L.;Forli';FC;€ 8'333'405;2023-05-18
ELETTRONSEA SOCIETA' COOPERATIVA;Forli';FC;€ 8'300'769;2023-05-18
ROSETTI S.R.L.;Forli';FC;€ 8'269'018;2023-05-18
NOVATEX S.R.L.;Forli';FC;€ 8'256'357;2023-05-18
COMMERCIO FRUTTA S.P.A. CONSORTILE - SOCIETA';Forli';FC;€ 8'236'342;2023-05-18
L'ANTICA CASCINA S.R.L.;Forli';FC;€ 8'222'098;2023-05-18
MEDIZOO S.R.L.;Forli';FC;€ 8'201'236;2023-05-18
C.R. BUS FORLI' - CESENA SOCIETA' COOPERATIVA;Forlimpopoli;FC;€ 8'198'056;2023-05-18
MENGOZZI S.R.L. - TORNERIA LAVORAZIONI MECCAN;Forli';FC;€ 8'076'014;2023-05-18
IMPRESA VERDE ROMAGNA S.R.L.;Forli';FC;€ 7'983'720;2023-05-18
ISOLPAV S.P.A.;Forli';FC;€ 7'847'932;2023-05-18
ROMEO LIPPI IMMOBILIARE S.R.L.;Forli';FC;€ 7'844'847;2023-05-18
G. & B. CASELLI - S.R.L.;Forli';FC;€ 7'812'664;2023-05-18
INFOTEK SRL;Forli';FC;€ 7'750'548;2023-05-18
SCIENTIA S.R.L.;Forli';FC;€ 7'600'084;2023-05-18
STEEL POOL CANTIERI S.R.L.;Forli';FC;€ 7'581'602;2023-05-18
TOZZI FRUTTA SRL;Forli';FC;€ 7'527'653;2023-05-18
ADRIATICA LOGISTICS S.R.L.;Forli';FC;€ 7'439'806;2023-05-18
PARTISANI S.R.L.;Forli';FC;€ 7'396'599;2023-05-18
DZ ENGINEERING SRL;Forli';FC;€ 7'372'631;2023-05-18
TECNOMEC S.R.L.;Forli';FC;€ 7'345'554;2023-05-18
I. ROSSI. S.R.L.;Forli';FC;€ 7'051'504;2023-05-18
FRATELLI RANUCCI - S.R.L.;Forli';FC;€ 6'979'341;2023-05-18
ROMAGNA PANNELLI - S.R.L.;Forli';FC;€ 6'955'500;2023-05-18
FLEXFOR REAL ESTATE S.R.L.;Forli';FC;€ 6'949'478;2023-05-18
EMPORIO OLEODINAMICO S.R.L.;Forli';FC;€ 6'922'131;2023-05-18
VENTURELLI ROMOLO SRL;Forli';FC;€ 6'915'338;2023-05-18
HOTEL MARE PINETA S.R.L.;Forli';FC;€ 6'892'665;2023-05-18
IBERSAN - S.R.L.;Forli';FC;€ 6'862'631;2023-05-18
CLUB DEL SOLE S.R.L.;Forli';FC;€ 6'822'988;2023-05-18
SAN GIORGIO LAMIERE S.R.L.;Forli';FC;€ 6'759'041;2023-05-18
NATURALGRASSI S.R.L.;Forli';FC;€ 6'659'262;2023-05-18
S.A.I.I.E. - S.R.L.;Forli';FC;€ 6'648'049;2023-05-18
TECNO-AVICOLA SRL;Forli';FC;€ 6'611'478;2023-05-18
SOCIETA' COOPERATIVA SOCIALE DOMUS COOP - ONL;Forli';FC;€ 6'597'436;2023-05-18
CONSORZIO ARCHIMEDE - SOCIETA' COOPERATIVA SO;Forli';FC;€ 6'532'465;2023-05-18
IMMOBILIARE AGINA S.R.L.;Forli';FC;€ 6'531'796;2023-05-18
OLIMPIA COSTRUZIONI S.R.L.;Forli';FC;€ 6'465'747;2023-05-18
GALA SOCIETA' BENEFIT A RESPONSABILITA' LIMIT;Forli';FC;€ 6'414'080;2023-05-18
TECNOACUSTICA S.R.L.;Forli';FC;€ 6'388'334;2023-05-18
INTEGRA ITALIA SRL;Forli';FC;€ 6'350'999;2023-05-18
CASTA S.R.L.;Forli';FC;€ 6'337'417;2023-05-18
DEPURATORE VALTROMPIA SOCIETA' CONSORTILE A R;Forli';FC;€ 6'322'203;2023-05-18
P. AUTO S.R.L.;Forli';FC;€ 6'301'346;2023-05-18
SOFTER COLOR - S.R.L.;Forli';FC;€ 6'222'780;2023-05-18
